study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	fastq_ftp	submitted_ftp	sra_ftp	sample_alias
PRJNA389280	SAMN07424255	SRX3106642	SRR5947817	408170	human gut metagenome	19354275	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947817/SRR5947817.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947817/SRR5947817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947817/SRR5947817_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/007/SRR5947817	G79899
PRJNA389280	SAMN07424258	SRX3106641	SRR5947818	408170	human gut metagenome	3702690	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947818/SRR5947818.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947818/SRR5947818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947818/SRR5947818_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/008/SRR5947818	G79906
PRJNA389280	SAMN07424257	SRX3106640	SRR5947819	408170	human gut metagenome	8356277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947819/SRR5947819.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947819/SRR5947819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947819/SRR5947819_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/009/SRR5947819	G79904
PRJNA389280	SAMN07424324	SRX3106639	SRR5947820	408170	human gut metagenome	27900364	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947820/SRR5947820.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947820/SRR5947820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947820/SRR5947820_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/000/SRR5947820	G80058
PRJNA389280	SAMN07424259	SRX3106638	SRR5947821	408170	human gut metagenome	17753290	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947821/SRR5947821.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947821/SRR5947821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947821/SRR5947821_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/001/SRR5947821	G79907
PRJNA389280	SAMN07424323	SRX3106637	SRR5947822	408170	human gut metagenome	25326755	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947822/SRR5947822.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947822/SRR5947822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947822/SRR5947822_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/002/SRR5947822	G80055
PRJNA389280	SAMN07424282	SRX3106636	SRR5947823	408170	human gut metagenome	28192424	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947823/SRR5947823.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947823/SRR5947823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947823/SRR5947823_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/003/SRR5947823	G79955
PRJNA389280	SAMN07424281	SRX3106635	SRR5947824	408170	human gut metagenome	12611099	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947824/SRR5947824.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947824/SRR5947824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947824/SRR5947824_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/004/SRR5947824	G79953
PRJNA389280	SAMN07424270	SRX3106634	SRR5947825	408170	human gut metagenome	833375	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947825/SRR5947825.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947825/SRR5947825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947825/SRR5947825_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/005/SRR5947825	G79931
PRJNA389280	SAMN07424269	SRX3106633	SRR5947826	408170	human gut metagenome	14890673	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947826/SRR5947826.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947826/SRR5947826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947826/SRR5947826_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/006/SRR5947826	G79926
PRJNA389280	SAMN07424286	SRX3106632	SRR5947827	408170	human gut metagenome	19106894	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947827/SRR5947827.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947827/SRR5947827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947827/SRR5947827_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/007/SRR5947827	G79962
PRJNA389280	SAMN07424285	SRX3106631	SRR5947828	408170	human gut metagenome	12056965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947828/SRR5947828.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947828/SRR5947828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947828/SRR5947828_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/008/SRR5947828	G79961
PRJNA389280	SAMN07424288	SRX3106630	SRR5947829	408170	human gut metagenome	15763327	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947829/SRR5947829.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947829/SRR5947829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947829/SRR5947829_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/009/SRR5947829	G79965
PRJNA389280	SAMN07424287	SRX3106629	SRR5947830	408170	human gut metagenome	9376476	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947830/SRR5947830.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947830/SRR5947830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947830/SRR5947830_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/000/SRR5947830	G79963
PRJNA389280	SAMN07424264	SRX3106628	SRR5947831	408170	human gut metagenome	14045538	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947831/SRR5947831.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947831/SRR5947831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947831/SRR5947831_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/001/SRR5947831	G79915
PRJNA389280	SAMN07424263	SRX3106627	SRR5947832	408170	human gut metagenome	10512225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947832/SRR5947832.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947832/SRR5947832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947832/SRR5947832_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/002/SRR5947832	G79914
PRJNA389280	SAMN07424262	SRX3106626	SRR5947833	408170	human gut metagenome	3546471	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947833/SRR5947833.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947833/SRR5947833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947833/SRR5947833_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/003/SRR5947833	G79911
PRJNA389280	SAMN07424261	SRX3106625	SRR5947834	408170	human gut metagenome	9310201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947834/SRR5947834.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947834/SRR5947834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947834/SRR5947834_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/004/SRR5947834	G79910
PRJNA389280	SAMN07424268	SRX3106624	SRR5947835	408170	human gut metagenome	20146382	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947835/SRR5947835.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947835/SRR5947835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947835/SRR5947835_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/005/SRR5947835	G79924
PRJNA389280	SAMN07424267	SRX3106623	SRR5947836	408170	human gut metagenome	17591454	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947836/SRR5947836.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947836/SRR5947836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947836/SRR5947836_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/006/SRR5947836	G79919
PRJNA389280	SAMN07424266	SRX3106622	SRR5947837	408170	human gut metagenome	5535590	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947837/SRR5947837.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947837/SRR5947837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947837/SRR5947837_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/007/SRR5947837	G79917
PRJNA389280	SAMN07424265	SRX3106621	SRR5947838	408170	human gut metagenome	10876720	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947838/SRR5947838.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947838/SRR5947838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947838/SRR5947838_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/008/SRR5947838	G79916
PRJNA389280	SAMN07424308	SRX3106620	SRR5947839	408170	human gut metagenome	9469313	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947839/SRR5947839.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947839/SRR5947839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947839/SRR5947839_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/009/SRR5947839	G80005
PRJNA389280	SAMN07424307	SRX3106619	SRR5947840	408170	human gut metagenome	21328801	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947840/SRR5947840.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947840/SRR5947840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947840/SRR5947840_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/000/SRR5947840	G80004
PRJNA389280	SAMN07424306	SRX3106618	SRR5947841	408170	human gut metagenome	17904539	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947841/SRR5947841.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947841/SRR5947841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947841/SRR5947841_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/001/SRR5947841	G80003
PRJNA389280	SAMN07424305	SRX3106617	SRR5947842	408170	human gut metagenome	9928859	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947842/SRR5947842.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947842/SRR5947842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947842/SRR5947842_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/002/SRR5947842	G80001
PRJNA389280	SAMN07424304	SRX3106616	SRR5947843	408170	human gut metagenome	9910230	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947843/SRR5947843.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947843/SRR5947843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947843/SRR5947843_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/003/SRR5947843	G80000
PRJNA389280	SAMN07424303	SRX3106615	SRR5947844	408170	human gut metagenome	4907071	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947844/SRR5947844.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947844/SRR5947844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947844/SRR5947844_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/004/SRR5947844	G79998
PRJNA389280	SAMN07424302	SRX3106614	SRR5947845	408170	human gut metagenome	12016733	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947845/SRR5947845.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947845/SRR5947845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947845/SRR5947845_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/005/SRR5947845	G79996
PRJNA389280	SAMN07424301	SRX3106613	SRR5947846	408170	human gut metagenome	14211432	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947846/SRR5947846.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947846/SRR5947846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947846/SRR5947846_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/006/SRR5947846	G79995
PRJNA389280	SAMN07424325	SRX3106612	SRR5947847	408170	human gut metagenome	12430096	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947847/SRR5947847.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947847/SRR5947847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947847/SRR5947847_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/007/SRR5947847	G80065
PRJNA389280	SAMN07424326	SRX3106611	SRR5947848	408170	human gut metagenome	19306931	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947848/SRR5947848.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947848/SRR5947848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947848/SRR5947848_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/008/SRR5947848	G80066
PRJNA389280	SAMN07424295	SRX3106610	SRR5947849	408170	human gut metagenome	13593483	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947849/SRR5947849.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947849/SRR5947849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947849/SRR5947849_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/009/SRR5947849	G79981
PRJNA389280	SAMN07424310	SRX3106609	SRR5947850	408170	human gut metagenome	17623657	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947850/SRR5947850.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947850/SRR5947850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947850/SRR5947850_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/000/SRR5947850	G80011
PRJNA389280	SAMN07424309	SRX3106608	SRR5947851	408170	human gut metagenome	17538513	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947851/SRR5947851.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947851/SRR5947851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947851/SRR5947851_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/001/SRR5947851	G80008
PRJNA389280	SAMN07424320	SRX3106607	SRR5947852	408170	human gut metagenome	22915587	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947852/SRR5947852.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947852/SRR5947852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5947852/SRR5947852_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/002/SRR5947852	G80050
PRJNA389280	SAMN07424328	SRX3106606	SRR5947853	408170	human gut metagenome	15550602	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947853/SRR5947853.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947853/SRR5947853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5947853/SRR5947853_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/003/SRR5947853	G80068
PRJNA389280	SAMN07424319	SRX3106605	SRR5947854	408170	human gut metagenome	22677144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947854/SRR5947854.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947854/SRR5947854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5947854/SRR5947854_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/004/SRR5947854	G80049
PRJNA389280	SAMN07424284	SRX3106604	SRR5947855	408170	human gut metagenome	25356696	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947855/SRR5947855.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947855/SRR5947855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/005/SRR5947855/SRR5947855_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/005/SRR5947855	G79960
PRJNA389280	SAMN07424327	SRX3106603	SRR5947856	408170	human gut metagenome	2135561	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947856/SRR5947856.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947856/SRR5947856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5947856/SRR5947856_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/006/SRR5947856	G80067
PRJNA389280	SAMN07424283	SRX3106602	SRR5947857	408170	human gut metagenome	21047917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947857/SRR5947857.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947857/SRR5947857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/007/SRR5947857/SRR5947857_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/007/SRR5947857	G79956
PRJNA389280	SAMN07424273	SRX3106601	SRR5947858	408170	human gut metagenome	18927469	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947858/SRR5947858.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947858/SRR5947858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5947858/SRR5947858_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/008/SRR5947858	G79936
PRJNA389280	SAMN07424274	SRX3106600	SRR5947859	408170	human gut metagenome	19117218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947859/SRR5947859.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947859/SRR5947859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5947859/SRR5947859_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/009/SRR5947859	G79937
PRJNA389280	SAMN07424271	SRX3106599	SRR5947860	408170	human gut metagenome	15489272	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947860/SRR5947860.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947860/SRR5947860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5947860/SRR5947860_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/000/SRR5947860	G79933
PRJNA389280	SAMN07424272	SRX3106598	SRR5947861	408170	human gut metagenome	6185395	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947861/SRR5947861.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947861/SRR5947861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5947861/SRR5947861_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR594/001/SRR5947861	G79935
